,FIPS,property crimes,violent crimes
1216,24003,19302,3114
1217,24005,27049,4931
1218,24009,1874,367
1219,24011,1088,123
1220,24013,2893,360
1221,24015,3811,540
1222,24017,4311,794
1223,24019,1223,187
1224,24021,4180,793
1225,24023,541,71
1226,24025,5221,879
1227,24027,8256,705
1228,24029,417,113
1229,24031,25822,2231
1230,24033,43861,7400
1231,24035,951,161
1232,24037,2221,304
1233,24039,704,94
1234,24041,1055,158
1235,24043,3181,442
1236,24045,3991,1010
1237,24047,2408,234
1238,24510,31582,10142
1239,25000,154174,29865
1240,25001,6704,1002
1241,25003,2884,505
1242,25005,14806,3308
1243,25007,372,22
1244,25009,16067,2602
1245,25011,1327,269
1246,25013,15292,3079
1247,25015,3073,401
1248,25017,30090,3987
1249,25019,147,31
1250,25021,10022,1232
1251,25023,9759,2035
1252,25025,27311,7989
1253,25027,16320,3403
1254,26000,290330,50955
1255,26001,181,12
1256,26003,87,10
1257,26005,1948,321
1258,26007,594,76
1259,26009,457,20
1260,26011,244,34
1261,26013,182,8
1262,26015,1087,96
1263,26017,2779,344
1264,26019,258,34
1265,26021,4977,620
1266,26023,941,80
1267,26025,5675,983
1268,26027,1336,114
1269,26029,451,33
1270,26031,582,39
1271,26033,811,82
1272,26035,384,30
1273,26037,732,87
1274,26039,283,37
1275,26041,955,57
1276,26043,197,18
1277,26045,2119,210
1278,26047,482,41
1279,26049,15494,3265
1280,26051,373,65
1281,26053,63,8
1282,26055,1664,147
1283,26057,615,55
1284,26059,744,75
1285,26061,453,34
1286,26063,572,26
1287,26065,8704,1581
1288,26067,1290,144
1289,26069,626,51
1290,26071,194,24
1291,26073,1514,139
1292,26075,4396,614
1293,26077,9583,1153
1294,26079,452,50
1295,26081,19198,3049
1296,26083,43,1
1297,26085,337,39
1298,26087,1247,176
1299,26089,196,14
1300,26091,1702,204
1301,26093,2546,204
1302,26095,183,34
1303,26097,633,20
1304,26099,20871,2809
1305,26101,549,33
1306,26103,1425,82
1307,26105,931,101
1308,26107,1100,91
1309,26109,414,28
1310,26111,1345,125
1311,26113,52,13
1312,26115,3818,382
1313,26117,1346,125
1314,26119,95,18
1315,26121,7339,801
1316,26123,1174,115
1317,26125,27642,3849
1318,26127,628,44
1319,26129,496,54
1320,26131,36,4
1321,26133,455,48
1322,26135,165,14
1323,26137,551,59
1324,26139,4550,452
1325,26141,85,6
1326,26143,521,55
1327,26145,6587,2350
1328,26147,4498,539
1329,26149,1501,182
1330,26151,671,99
1331,26153,137,17
1332,26155,1467,168
1333,26157,672,56
1334,26159,2231,263
1335,26161,9610,1371
1336,26163,85792,21946
1337,26165,1012,98
1338,27000,146725,12364
1339,27001,412,19
1340,27003,12200,468
1341,27005,489,34
1342,27007,1448,78
1343,27009,843,49
1344,27011,43,2
1345,27013,2081,74
1346,27015,268,5
1347,27017,926,32
1348,27019,1346,40
1349,27021,446,22
1350,27023,239,18
1351,27025,1147,35
