,FIPS,Normalized Median Income,Poverty Fraction
2766,48395,0.8661544129520313,20.2
2767,48397,1.8113903672707143,6.6
2768,48399,0.8091329488214033,16.0
2769,48401,1.0026525937001145,16.4
2770,48403,0.8084588263347386,19.2
2771,48405,0.6855128321289123,26.3
2772,48407,0.9369140284488238,20.6
2773,48409,1.0495854661337625,16.3
2774,48411,0.790792168063529,21.5
2775,48413,1.02052846239822,15.4
2776,48415,1.052839850552143,17.0
2777,48417,0.9736885723765261,13.1
2778,48419,0.83381977919512,19.9
2779,48421,0.9979569818964509,13.1
2780,48423,1.0722499290474854,16.2
2781,48425,1.247033617917519,10.2
2782,48427,0.5211199277947086,38.5
2783,48429,0.8641320454920376,19.7
2784,48431,1.140777966657388,13.3
2785,48433,0.8420022314470487,16.8
2786,48435,1.4160059060404442,12.4
2787,48437,0.7422088578177024,22.0
2788,48439,1.249613879849235,14.5
2789,48441,0.9877754077875169,15.4
2790,48443,0.7188935180203033,18.8
2791,48445,0.7421391210087371,23.1
2792,48447,0.8489991579465672,15.5
2793,48449,0.872942129024654,18.4
2794,48451,0.9390991151297365,16.2
2795,48453,1.242105550083971,16.0
2796,48455,0.7689877924603781,19.7
2797,48457,0.7773794551392027,20.1
2798,48459,1.01548416654973,15.9
2799,48461,1.042216609986429,16.0
2800,48463,0.7081772950426354,31.5
2801,48465,0.7834930487251608,24.5
2802,48467,0.9738280459944566,14.5
2803,48469,1.1005630734873977,14.0
2804,48471,0.8648061679787021,23.2
2805,48473,1.0951003567851156,19.0
2806,48475,1.0000955773713869,15.5
2807,48477,0.9819640070404084,14.5
2808,48479,0.8633416949904309,30.9
2809,48481,0.8596223985122815,18.9
2810,48483,1.012694694191118,12.6
2811,48485,0.9731074323018152,15.4
2812,48487,0.8259162741790524,17.2
2813,48489,0.6065940099831797,41.6
2814,48491,1.6239843159779612,5.5
2815,48493,1.29777876924127,12.8
2816,48495,1.0717385257817398,14.6
2817,48497,1.2556577366262278,10.6
2818,48499,0.9051837803696117,15.0
2819,48501,1.163326201556169,12.8
2820,48503,0.9477697250444224,15.1
2821,48505,0.7150579935272118,29.3
2822,48507,0.5077072148703824,35.8
2823,49000,1.2827621097107418,11.7
2824,49001,0.9707596263999834,10.9
2825,49003,1.228925293189529,9.6
2826,49005,1.0940310590476479,16.7
2827,49007,1.0387065239351754,15.7
2828,49009,1.0214117953117805,6.6
2829,49011,1.5393238298940854,7.0
2830,49013,1.2338766066260654,10.6
2831,49015,1.1858511908519611,11.6
2832,49017,0.9605780522910494,12.2
2833,49019,0.908205708758108,14.7
2834,49021,0.9331947319706744,18.3
2835,49023,1.175971809581877,11.7
2836,49025,1.0062324165603334,11.7
2837,49027,1.0426117852372323,14.6
2838,49029,1.7472325030226372,4.9
2839,49031,0.8359583746700558,18.8
2840,49033,1.2502182655269343,10.1
2841,49035,1.323930072603258,10.7
2842,49037,0.8377250404971768,28.3
2843,49039,0.9957021584065728,16.0
2844,49041,1.0727380867102425,12.5
2845,49043,1.714804886853772,7.3
2846,49045,1.3029857843106791,7.2
2847,49047,1.355497601461551,10.1
2848,49049,1.3359480493482783,14.2
2849,49051,1.4321383545144173,8.5
2850,49053,1.0831521168490608,14.2
2851,49055,0.9713175208717058,15.2
2852,49057,1.2342020450679034,12.5
2853,50000,1.1906165394645902,11.5
2854,50001,1.2119095118019956,10.9
2855,50003,1.0387530151411521,12.8
2856,50005,1.0040473298794206,14.9
2857,50007,1.3989668790499221,10.6
2858,50009,0.7998114620230413,16.9
2859,50011,1.2076090752491353,10.3
2860,50013,1.2086086361776378,9.4
2861,50015,1.1844797002756435,12.5
2862,50017,1.1256218335089292,10.8
2863,50019,0.9278249976803462,13.5
2864,50021,1.1040034227296858,13.6
2865,50023,1.2068419703505169,9.5
2866,50025,1.0904977273934058,12.3
2867,50027,1.1233670100190511,10.5
2868,51000,1.3801379406292908,10.6
2869,51001,0.8487434563136944,18.3
2870,51003,1.4800242966705908,8.8
2871,51005,1.0049074171899925,12.7
2872,51007,1.1151148209581572,11.3
2873,51009,0.9790350610638658,13.9
2874,51011,0.9845442689721247,14.3
2875,51013,2.1549371338367775,6.6
2876,51015,1.1716016362200512,9.3
2877,51017,0.9907043537640596,11.8
2878,51019,1.232086695195956,7.8
2879,51021,0.9184802652789958,15.0
2880,51023,1.3817418872354927,7.6
2881,51025,0.831193026057427,22.0
2882,51027,0.6974843176679558,26.5
2883,51029,0.846465387220828,21.6
2884,51031,1.045656959228717,13.1
2885,51033,1.3331818225926546,10.5
2886,51035,0.7959294463239729,16.9
2887,51036,1.1180205213317114,10.2
2888,51037,0.7748689300164519,18.9
2889,51041,1.628470717354729,6.1
2890,51043,1.52574839774884,7.6
2891,51045,1.0489578348530746,9.8
2892,51047,1.4230260781429511,9.6
2893,51049,0.9098561465702869,15.5
2894,51051,0.7410000864623039,20.5
2895,51053,1.1528656802113737,11.2
2896,51057,1.1226696419293982,13.3
2897,51059,2.378606325791487,5.6
2898,51061,1.9370560970261874,5.9
2899,51063,0.8522767879679364,15.0
2900,51065,1.5928119623704715,7.2
2901,51067,1.048492922793306,14.0
2902,51069,1.4134721353147048,9.2
2903,51071,0.9163649154070483,13.1
2904,51073,1.2862954413649836,9.5
2905,51075,1.7846114326280387,6.6
2906,51077,0.7627579708594778,16.5
2907,51079,1.351104182496737,8.6
