,FIPS,Age 18 and over,Voting Age Fraction
1930,37009,21980,0.8056889410212236
1931,37011,14738,0.8281170983873687
1932,37013,37232,0.779580811993551
1933,37015,16846,0.7915609435203458
1934,37017,27073,0.769337880079568
1935,37019,87270,0.8123353594400127
1936,37021,189478,0.7950637383663844
1937,37023,70724,0.7779391059486096
1938,37025,129230,0.7259663728645983
1939,37027,64243,0.7737417047055848
1940,37029,7423,0.7437875751503006
1941,37031,53894,0.8108140636988671
1942,37033,18830,0.7938783253931447
1943,37035,117563,0.761625571722878
1944,37037,49664,0.7820486575860168
1945,37039,22157,0.8073531555166885
1946,37041,11476,0.7757723247481917
1947,37043,8604,0.8126948143950128
1948,37045,75080,0.7655131629927201
1949,37047,44566,0.7670832042411099
1950,37049,79302,0.7661658857060045
1951,37051,233890,0.732208207719351
1952,37053,17956,0.7625599864101584
1953,37055,27128,0.7997641509433963
1954,37057,124006,0.7613428455653926
1955,37059,31489,0.7635548011639185
1956,37061,43635,0.745833689428254
1957,37063,207266,0.7745742506175561
1958,37065,42673,0.7545798557080209
1959,37067,265269,0.7564633416032167
1960,37069,45757,0.7548293439350698
1961,37071,156845,0.7610657686596858
1962,37073,9294,0.7619906534393703
1963,37075,6948,0.7841101455817627
1964,37077,46583,0.777471793844716
1965,37079,16410,0.7681864993914428
1966,37081,373923,0.7655987027186398
1967,37083,42073,0.769285622862994
1968,37085,82851,0.7224663841364516
1969,37087,47501,0.8046107459855004
1970,37089,84781,0.7942758103803635
1971,37091,19472,0.7893307389841502
1972,37093,32767,0.6978829442835236
1973,37095,4734,0.8148020654044751
1974,37097,118852,0.7454480453094325
1975,37099,33148,0.8231233393757295
1976,37101,121908,0.7218702258435084
1977,37103,7945,0.7825273318231065
1978,37105,43006,0.7431998064493831
1979,37107,45163,0.75910580721069
1980,37109,59784,0.7638663514981153
1981,37111,35211,0.7825362254422615
1982,37113,27388,0.8073816402334768
1983,37115,16672,0.8029281448661144
1984,37117,19070,0.7782085288716588
1985,37119,686290,0.7462691436102424
1986,37121,12544,0.8051864689646319
1987,37123,21052,0.7573206705518383
1988,37125,69098,0.7830067877661564
1989,37127,72905,0.7606949081803005
1990,37129,162254,0.8005940779702665
1991,37131,17499,0.7918457848771437
1992,37133,132834,0.7472155345048714
1993,37135,105832,0.7909656878498665
1994,37137,10790,0.8209068776628119
1995,37139,31462,0.7737635572169893
1996,37141,40328,0.7723155294252829
1997,37143,10684,0.7941723035754107
1998,37145,30350,0.7690553415771336
1999,37147,130350,0.7752099341056689
2000,37149,16572,0.8079960994636762
2001,37151,107038,0.7551075117105931
2002,37153,35259,0.7559981989322241
2003,37155,98241,0.7322237791425675
2004,37157,72854,0.7779972875708809
2005,37159,105486,0.7620279134279192
2006,37161,52586,0.77549034065772
2007,37163,47154,0.7433904557708376
2008,37165,27084,0.7490665707885057
2009,37167,46852,0.773326731039036
2010,37169,36880,0.7780426573279045
2011,37171,56456,0.7663051592849484
2012,37173,10712,0.7661826764895215
2013,37175,27258,0.8237533998186763
2014,37177,3612,0.8196051735874744
2015,37179,140412,0.6975538024362617
2016,37181,33881,0.7459160759103518
2017,37183,666380,0.7396061900591903
2018,37185,16714,0.7969673850848751
2019,37187,10185,0.7699576655579075
2020,37189,44005,0.8615086434738346
2021,37191,92139,0.7514006344649862
2022,37193,53804,0.7759446207095472
2023,37195,61182,0.7531575448703745
2024,37197,29468,0.767275946466698
2025,37199,14256,0.8000897968346615
2026,38000,522720,0.7771736463913433
2027,38001,1897,0.8096457533077251
2028,38003,8786,0.7939634917766131
2029,38005,4421,0.6638138138138138
2030,38007,645,0.8237547892720306
2031,38009,5207,0.8099237828589205
2032,38011,2475,0.7854649317676928
2033,38013,1559,0.7921747967479674
2034,38015,62965,0.7744010429478034
2035,38017,117118,0.7819439437033476
2036,38019,3207,0.8031555221637866
2037,38021,4074,0.7702779353374929
2038,38023,1717,0.8290680830516659
2039,38025,2759,0.7802601809954751
2040,38027,1887,0.7911949685534592
2041,38029,2791,0.7861971830985915
2042,38031,2615,0.7822315285671553
2043,38033,1276,0.7595238095238095
2044,38035,53440,0.7992701275781098
2045,38037,1944,0.8120300751879699
2046,38039,1961,0.8103305785123966
2047,38041,2009,0.8110617682680662
2048,38043,1912,0.7852156057494867
2049,38045,3266,0.7890794877989853
